,Greedy_single,Greedy_plural,Bipartite,MILP
1:10,100.0,100.0,100.0,100.0
2:20,100.0,100.0,100.0,100.0
4:40,100.0,100.0,100.0,100.0
8:80,100.0,100.0,100.0,100.0
16:160,100.0,100.0,100.0,100.0
32:320,100.0,100.0,100.0,100.0
64:640,100.0,100.0,100.0,100.0
128:1280,100.0,100.0,100.0,100.0
256:2560,100.0,100.0,100.0,100.0
512:5120,100.0,100.0,100.0,100.0
1024:10240,100.0,100.0,100.0,100.0
2048:20480,100.0,100.0,100.0,0.0
4096:40960,100.0,100.0,100.0,0.0
,Greedy_single,Greedy_plural,Bipartite,MILP
1:10,100.0,100.0,100.0,100.0
2:20,100.0,100.0,100.0,100.0
4:40,100.0,100.0,100.0,100.0
8:80,100.0,100.0,100.0,100.0
16:160,100.0,100.0,100.0,100.0
32:320,100.0,100.0,100.0,100.0
64:640,100.0,100.0,100.0,100.0
128:1280,100.0,100.0,100.0,100.0
256:2560,100.0,100.0,100.0,100.0
512:5120,100.0,100.0,100.0,100.0
1024:10240,100.0,100.0,100.0,100.0
2048:20480,100.0,100.0,100.0,0.0
4096:40960,100.0,100.0,100.0,0.0